headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
my head is spinning,idiom,B2,boshim aylanib ketyapti / garang bo'lib qoldim,У меня кружится голова / кружится голова,"Used when you are confused, overwhelmed by too much information, or experiencing vertigo.",,20521,idioms,There's so much information in this module that my head is spinning.,"Bu modulda shuncha ko'p ma'lumot borki, boshim aylanib ketdi.",,dizzy | overwhelmed | confused | bewildered,,head is spinning from | leave my head spinning | make my head spin,saying 'my head is turning'
fed up with,idiom,B1,"joniga tegmoq, to'yib ketmoq","коснуться души, быть удовлетворенным",Used when you are annoyed or bored because a situation has continued for too long.,,20523,idioms,I'm fed up with this constant rainy weather.,Bu tinimsiz yomg'irli ob-havodan to'yib ketdim.,,annoyed | frustrated | bored,keen on | looking forward to,getting fed up with | thoroughly fed up with | pretty fed up with,Saying 'I fed up'
to crack on,idiom,B2,"ishni davom ettirmoq, tezroq boshlamoq","продолжить работу, начать как можно скорее",Used to say you are starting a task or continuing with a task energetically.,,20525,idioms,"We've got a lot to finish, so let's crack on.","Tugatishimiz kerak bo'lgan ish ko'p, keling, ishni davom ettiraylik.",,get down to | proceed | carry on,put off | procrastinate | waste time,crack on with work | time to crack on | let's crack on | crack on immediately,thinking it means to break something
to pull my leg,idiom,B1,"meni aldamoq, hazillashmoq","обмануть меня, посмеяться надо мной",Used when you think someone is teasing you or telling you a lie for fun.,,20527,idioms,"Wait, did you really win the lottery, or are you just pulling my leg?","To'xtang, lotereyada rostdan ham yutdingizmi yoki meni hazillashib aldayapsizmi?",,tease | jest | joke,tell the truth | be serious,only pulling my leg | just pulling my leg | stop pulling my leg,Saying 'pull my arm'
to lose the plot,idiom,B2,"o'zini yo'qotib qo'ymoq, aqldan ozmoq, vaziyatni boshqara olmaslik","потерять себя, потерять рассудок, оказаться не в состоянии контролировать ситуацию","Used when someone starts acting strangely, becomes angry, or loses their ability to behave logically or calmly.",,20529,idioms,He completely lost the plot when he found out the train was cancelled.,"Poezd bekor qilinganini bilib, u butunlay o'zini yo'qotib qo'ydi.",,panic | lose control | go crazy,stay calm | keep it together,totally lost the plot | nearly lost the plot | completely lost the plot,Saying 'lost my plot' instead of 'lost the plot'
do a runner,idiom,B2,"qochib qolmoq, qochib ketmoq","убежать, убежать","British slang for leaving a place quickly, often to avoid paying for something or to avoid an unpleasant situation.",,20531,idioms,The kids did a runner as soon as they saw the teacher coming.,Bolalar o'qituvchi kelayotganini ko'rishi bilan qochib ketishdi.,,flee | escape | abscond,stay put | face the music,try to do a runner | did a runner from | threaten to do a runner,Saying 'do the runner'
to pop out,idiom,B1,qisqa muddatga chiqib kelmoq,выйти ненадолго,"Used when leaving a place briefly to go somewhere close, like a shop or a neighbour's house.",,20533,idioms,I’m just going to pop out to the shops for some milk.,Men sut olish uchun do'konga qisqa muddatga chiqib kelaman.,,nip out | step out | run an errand,stay in | settle down,pop out for a bit | pop out to the shops | pop out for lunch | just popping out,saying 'I pop out to work' (implies you are leaving forever/not coming back soon)
fair enough,idiom,B1,"tushunarli, mayli, roziman (tan olgan holda)","ясно, ок, согласен (с подтверждением)","Used to show that you accept an excuse or a point of view, even if it is not what you initially wanted.",,20535,idioms,I can't go to the cinema tonight because I'm broke. - Fair enough.,"Bugun kechqurun kinoga bora olmayman, chunki pulim yo'q. — Tushunarli.",,agreed | point taken | understandable,I disagree | That's unfair,"that's fair enough | fair enough, I suppose | fair enough, but...",It is fair enough (usually used as an interjection)
to be chuffed,idiom,B1,xursand bo'lmoq,быть счастливым,A very British way of saying you are pleased or proud about something.,,20537,idioms,I was really chuffed with my exam results.,Imtihon natijalarimdan juda xursand bo'ldim.,,pleased | thrilled | delighted,disappointed | gutted,chuffed to bits | well chuffed | chuffed with results | really chuffed,Chuffed for something (it is 'chuffed with')
buckets of rain,idiom,B1,Juda kuchli yomg'ir,Очень сильный дождь,Idiomatic way to describe heavy rainfall.,,20539,idioms,I forgot my umbrella and it's been raining buckets since I left the house.,Soyabonimni unutdim va uyimdan chiqqanimdan beri chelaklab yomg'ir yog'yapti.,,Heavy rain | Downpour | Torrential rain,Drizzle | Light shower,Raining buckets | Been raining buckets | Forecast to rain buckets,Saying 'buckets of water'
to be a bit of a nightmare,idiom,B2,ancha qiyin yoki muammoli vaziyat,очень трудная или проблемная ситуация,"Used to describe a situation, journey, or task that is frustrating, difficult, or chaotic.",,20541,idioms,The traffic on the motorway was a bit of a nightmare this morning.,Bugun ertalab avtomagistraldagi tirbandlik ancha muammoli edi.,,hassle | fiasco | struggle,a breeze | a piece of cake,a total nightmare | a bit of a nightmare | find it a nightmare,saying 'the nightmare' instead of 'a nightmare'
fancy doing something,idiom,B1,biror narsa qilishga xohish bildirmoq,выразить желание сделать что-то,Used in British English to suggest an activity or ask if someone wants to do something.,,20543,idioms,Do you fancy grabbing a pizza later tonight?,Bugun kechqurun pizza yeyishga qanday qaraysiz?,,want | desire | feel like,can't be bothered,fancy a coffee | fancy a bite | fancy a walk | really fancy | not fancy,do you fancy to go (must be V-ing)
my mind went blank,idiom,B2,"esimdan chiqib ketdi, kallam ishlamay qoldi","Я забыл, мой разум перестал работать",Used when you are under pressure (like an exam or presentation) and suddenly cannot remember information.,,20545,idioms,"I walked into the exam, and suddenly my mind went blank.","Imtihon xonasiga kirganimda, birdaniga esimdan hamma narsa chiqib ketdi.",,forget | lapse of memory,remember clearly,suddenly went blank | totally went blank | panic made my mind go blank,my brain became empty (unnatural)
to run by (someone),idiom,B2,kimdir bilan maslahatlashish / fikrini bilish,посоветоваться с кем-то / узнать его мнение,Used when you want to show someone an idea or plan to see if they approve or have feedback.,,20547,idioms,"I have an idea for the presentation, can I run it by you?","Taqdimot uchun bir fikrim bor, uni siz bilan maslahatlashsam bo'ladimi?",,consult | check | discuss,,run an idea by someone | run a plan by someone | run something by a colleague,Run to someone
a bit of a long shot,idiom,B2,ozgina gumonli/qiyin ish,слегка подозрительный/сложный случай,Used when describing something that is unlikely to succeed or happen.,,20549,idioms,Asking for a promotion right now is a bit of a long shot.,Hozir lavozim oshirishni so'rash unchalik ham real bo'lmagan umid.,,unlikely | remote possibility,a sure thing | a dead cert,considered a long shot | definitely a long shot | worth a long shot,It is a long distance
out and about,idiom,B1,"ko'chada, uyda emas, band","на улице, не дома, занят","Used to describe being away from home, usually doing chores, running errands, or simply socialising in public.",,20551,idioms,"I've been out and about all day, so I'm absolutely exhausted.","Kun bo'yi ko'chada yuribman, shuning uchun juda holdan toyganman.",,active | away from home | travelling,staying in,been out and about | while out and about | all out and about,I am out and in (incorrect idiom)
to make up my mind,idiom,B2,qaror qabul qilmoq / to'xtamga kelmoq,решить / остановиться,Used when you are struggling to reach a decision and finally do so.,,20553,idioms,I still haven't made up my mind about which university to apply to.,Qaysi universitetga hujjat topshirish haqida hali qaror qabul qilmaganman.,,decide | choose | resolve,be undecided | be on the fence | waver,finally make up one's mind | hard to make up one's mind,Decide my mind (incorrect verb usage)
to make a point of doing something,idiom,B2,atayin biror narsa qilmoq / shuni odat qilmoq,делать что-то намеренно / сделать это привычкой,Used when you deliberately ensure you do something because you think it is important.,,20555,idioms,I make a point of reading for an hour every night.,Har oqshom bir soat kitob o'qishni odat qilganman.,,ensure | emphasize | prioritize,neglect | overlook,make a point of saying | make a point of visiting | make a point of calling,make a point to do
to give someone a hand,idiom,A2,kimagadir yordam bermoq,помочь кому-то,A polite and standard way to offer or ask for help.,,20557,idioms,Could you give me a hand with these heavy boxes?,Shu og'ir qutilarni ko'tarishga menga yordam bera olasizmi?,,help | assist | support,ignore | refuse to help,gladly give a hand | need a hand | give a hand with | give a quick hand,Give a hand to him (word order is awkward)
to be up to,idiom,B1,biror nima qilmoqchi bo'lmoq / nima qilib yuribsan?,сделать что-то/что ты делаешь?,Used to ask what someone is doing or to describe someone's current activities/intentions.,,20559,idioms,What have you been up to lately?,So'nggi paytlarda nimalar bilan band bo'lib yuribsiz?,,doing | planning | engaged in,,up to no good | up to something | what are you up to | been up to,What are you up to do? (incorrect structure)
to slip one's mind,idiom,B2,yoddan ko'tarilmoq,восстать из памяти,Use this to politely admit that you forgot to do something or forgot an appointment.,,20561,idioms,"I am so sorry, it completely slipped my mind to pay the bill.","Uzr, hisobni to'lash butunlay esimdan chiqib ketibdi.",,forgot | lost track of,keep in mind | remembered,completely slipped my mind | had slipped my mind | it briefly slipped my mind,It slipped out of my mind (incorrect idiom)
to be spot on,idiom,B2,o'z o'rnida / juda aniq / mukammal,на месте/очень четко/идеально,"Use this to say that someone's guess, opinion, or performance is exactly right.",,20563,idioms,Your assessment of the situation was spot on.,Vaziyat haqidagi bahoingiz juda aniq edi.,,accurate | precise | correct,way off | incorrect,completely spot on | absolutely spot on | spot on the money,Your answer is very spot on (don't use intensifiers like 'very' as it is already emphatic)
to give something a go,idiom,B1,biror narsani sinab ko'rmoq,попробовать что-нибудь,"Used when someone decides to try a new activity or task, often despite being uncertain about the outcome.",,20565,idioms,"I've never played tennis before, but I'm willing to give it a go.","Avval tennis o'ynamaganman, lekin uni sinab ko'rishga tayyorman.",,try | attempt | experiment,give up | avoid,give it a good go | worth a go | give something a quick go | might give it a go,Give a go it (wrong word order)
to be up for something,idiom,B2,biror narsani xohlamoq / tayyor bo'lmoq,хотеть/быть готовым к чему-то,Used to express interest or willingness to participate in a suggested plan or activity.,,20567,idioms,Are you up for going out tonight?,Bugun kechqurun tashqariga chiqishga tayyormisiz?,,willing | enthusiastic | interested,not in the mood | reluctant,definitely up for | not up for | up for anything | up for a laugh,I am up to go to the cinema (incorrect preposition)
to do my head in,idiom,C1,asabga tegmoq / jonga tegmoq,коснуться нерва / коснуться души,A very British way to express frustration or annoyance about something recurring.,,20569,idioms,This constant rain is really doing my head in.,Bu tinimsiz yomg'ir rosa asabimga tegayapti.,,irritate | bother | exasperate,relaxed | calm,really doing my head in | starts to do my head in | does my head in completely,"Changing the pronoun (e.g., 'it does head in me')"
to make a go of it,idiom,B2,urinib ko'rmoq / muvaffaqiyatga erishishga harakat qilmoq,попытаться / попытаться добиться успеха,"Used when someone decides to try their best to make a venture, relationship, or situation successful.",,20571,idioms,They decided to open a cafe and really make a go of it.,Ular kafe ochishga va uni muvaffaqiyatli yuritishga jiddiy harakat qilishga qaror qildilar.,,succeed | thrive | attempt,give up,make a real go of it | trying to make a go of it | determined to make a go of it,Using 'make to go of it'
i'm tied up at the moment,idiom,B1,Hozir bandman / qo'lim tegmayapti,Я сейчас занят/у меня нет времени,Used when you cannot deal with someone or a task immediately because you are busy with something else.,,20573,idioms,"I'm tied up at the moment, can I call you back in an hour?","Hozir bandman, bir soatdan keyin sizga qayta qo'ng'iroq qilsam bo'ladimi?",,busy | occupied | unavailable,free | available | at a loose end,thoroughly tied up | a bit tied up | tied up with work | tied up in a meeting,I am tie up now
catch you later,idiom,A2,Keyin ko'rishamiz / gaplashamiz,Увидимся/поговорим позже,"A friendly, casual way to say goodbye to friends or colleagues.",,20575,idioms,"I have to run to class now, catch you later!","Hozir darsga yugurishim kerak, keyin ko'rishamiz!",,goodbye | see you | bye,nice to meet you (first time),catch you later on | catch you later then | just catch you later,Catch you after
i'm not really into it,idiom,B1,U qiziqishimga kirmaydi / unchalik yoqtirmayman,Мне это не интересно/он мне не очень нравится,A polite and common way to state that you do not like a specific activity or hobby.,,20577,idioms,"Do you want to go to the jazz concert? Honestly, I'm not really into it.","Jazz konsertiga borishni xohlaysizmi? Rostini aytsam, menga unchalik yoqmaydi.",,dislike | uninterested,I'm keen on it | I'm a big fan of it | I'm into it,not really into that | not really into heavy metal | not really into sports,I am not in it
make yourself at home,idiom,A2,O'zingizni uyingizdagidek his qiling,Чувствуйте себя как дома,"A standard, welcoming phrase used when someone visits your house or workspace.",,20579,idioms,Come in! Make yourself at home while I put the kettle on.,"Kiring! Choynakni qo'yib kelgunimcha, o'zingizni uyingizdagidek his qiling.",,get comfortable | relax,,truly make yourself at home | feel free to make yourself at home,Make yourself in home
makes sense,idiom,B1,"mantiqli, tushunarli","логично, понятно","Used to confirm that something is logical, reasonable, or easy to understand.",,20581,idioms,That makes sense; I never thought of it that way.,Bu mantiqli ekan; men bu haqda hech qachon bunday o'ylamagan edim.,,logical | understandable,doesn't make sense | illogical,it makes perfect sense | it makes complete sense | doesn't make any sense,it is sense (wrong construction)
a ballpark figure,idiom,B2,taxminiy hisob-kitob / chamalab aytilgan raqam,оценка / предполагаемое количество,"Used when giving a rough estimate rather than an exact, precise number.",,20583,idioms,"I don't know the exact cost, but could you give me a ballpark figure?","Aniq narxni bilmayman, lekin taxminiy hisobni ayta olasizmi?",,estimate | approximation,precise figure | exact amount,give a ballpark figure | provide a ballpark figure | a rough ballpark figure,Ballpark number (less natural than 'figure')
take it easy,idiom,A2,dam olmoq / o'zingni qiynama / xotirjam bo'l,расслабься/не беспокойся/сохраняй спокойствие,"Used to tell someone to relax or not to worry, or as a way of saying goodbye.",,20585,idioms,You've been working too hard; you really need to take it easy this weekend.,Juda ko'p ishlayapsiz; bu dam olish kunlari albatta biroz dam olishingiz kerak.,,relax | calm down | chill out,worry | stress out,take it easy on someone | need to take it easy | advice to take it easy,Take it easily (incorrect adverb usage)
to make a move,idiom,B2,jo'nab ketmoq / ketish vaqti bo'lmoq,уйти / пора уходить,Used when you are ready to leave a place or a social gathering.,,20587,idioms,"It's getting late, I think it's time for me to make a move.","Kech bo'lib qoldi, menimcha, ketishim kerak.",,leave | depart | go,stay | arrive,time to make a move | really make a move | need to make a move,I'm going to make a movement (incorrect vocabulary)
to weigh up the options,idiom,C1,variantlarni o'ylab ko'rmoq / tahlil qilmoq,рассмотреть/проанализировать варианты,Used when you are considering different choices before making a final decision.,,20589,idioms,I need a few days to weigh up my options before accepting the job offer.,Ish taklifini qabul qilishdan oldin variantlarimni yaxshilab o'ylab ko'rish uchun bir necha kun kerak.,,deliberate | consider | evaluate,decide impulsively | rush into,carefully weigh up | weigh up the pros and cons | need to weigh up,I am weighing to the options (wrong verb usage)
to pull an all-nighter,idiom,B2,butun kecha uxlamasdan o'qimoq,"учиться всю ночь, не спать",Used when students stay awake all night to study or finish an assignment before a deadline.,,20591,idioms,I had to pull an all-nighter to finish my final dissertation before the deadline.,Muddatdan oldin yakuniy dissertatsiyamni tugatish uchun butun kecha uxlamasdan ishlashimga to'g'ri keldi.,,to burn the midnight oil | to stay up all night,,frequently pull an all-nighter | exhausting all-nighter | studying session,do an all-nighter
to breeze through an exam,idiom,B2,imtihondan qiynalmay o'tib ketmoq,сдать экзамен без труда,Used to describe completing a task or an exam very easily and successfully.,,20593,idioms,"Because she had studied so hard, she managed to breeze through the final exam.",U juda ko'p tayyorlangani uchun yakuniy imtihondan qiynalmay o'tdi.,,sail through | ace,struggle with | scrape through,breeze through effortlessly | breeze through easily | breeze through the paper,breeze the exam
to scrape through,idiom,B2,zo'rg'a (qiyinchilik bilan) o'tish,едва (с трудом) пройдя,"Used when someone passes a test or succeeds, but only just, usually by a very small margin.",,20595,idioms,"I didn't prepare well enough, so I only managed to scrape through the maths exam.","Yetarlicha tayyorlanmagandim, shuning uchun matematika imtihonidan zo'rg'a o'tdim.",,barely pass | squeeze by,pass with flying colours | breeze through,scrape through an exam | scrape through a test | barely scrape through,to scrape passed
to sail through,idiom,B2,osonlikcha uddalamoq / qiyinchiliksiz o'tmoq,делать легко / пройти без труда,Used to describe passing an exam or finishing a course with little to no effort.,,20597,idioms,She studied so hard that she managed to sail through her final examinations.,U juda ko'p o'qigani uchun yakuniy imtihonlardan osonlikcha o'tdi.,,succeed | triumph | pass easily,struggle with | fail | scrape through,sail through exams | sail through an assessment | sail through an interview,sail into the exam
to get to grips with,idiom,C1,o'rganib olmoq / mohiyatini tushunib yetmoq,узнать/понять суть,Used when starting to understand a complicated subject or a new method of study.,,20599,idioms,It took me a while to get to grips with the new research methodology.,Yangi tadqiqot metodologiyasini tushunib olishimga biroz vaqt ketdi.,,understand | comprehend | tackle,misunderstand | be confused by,get to grips with basics | get to grips with a problem,get grips to
to pass with flying colours,idiom,B2,juda yuqori natija bilan o'tmoq (imtihon),сдать (экзамен) очень хорошо,Used when someone achieves an excellent score or succeeds in a challenge with high merit.,,20601,idioms,"She was nervous about the physics paper, but she passed with flying colours.","U fizika imtihonidan xavotirda edi, lekin uni a'lo natija bilan topshirdi.",,to excel | to do brilliantly,to scrape through,passed with flying colours | graduated with flying colours,pass with flying color
foot the bill,idiom,B2,xarajatlarni qoplash,возмещение расходов,Used when discussing who should pay for environmental cleanups or climate change mitigation.,,20603,idioms,Governments should foot the bill for transitioning to renewable energy.,Hukumatlar qayta tiklanadigan energiyaga o'tish xarajatlarini qoplashi kerak.,,pay for | finance | cover the costs,,foot the bill for climate change | foot the bill for pollution,foot the cost
take a toll on,idiom,B2,salbiy ta'sir ko'rsatish,иметь негативное влияние,"Used to describe the negative, gradual damage caused by pollution or human activity.",,20605,idioms,Industrial waste is taking a heavy toll on our marine life.,Sanoat chiqindilari dengiz hayotimizga juda katta zarar yetkazmoqda.,,damage | adversely affect | harm,,take a heavy toll | take a toll on biodiversity | take a toll on the environment,take a toll to
be on the brink of,idiom,C1,yoqasida turish,поддерживать,Used when describing species or ecosystems in critical danger of disappearing.,,20607,idioms,Many species are currently on the brink of extinction due to habitat loss.,Ko'plab turlar yashash joylari yo'qolishi sababli hozir yo'q bo'lib ketish yoqasida.,,on the verge of | approaching | near,in safety | thriving,on the brink of extinction | on the brink of collapse | on the brink of disaster,on the edge to
to be at a tipping point,idiom,C1,hal qiluvchi pallada bo'lmoq,быть в переломном моменте,"Used to describe a critical moment where a system is about to change irreversibly, often used in climate change discussions.",,20609,idioms,Many scientists argue that our planet is at a tipping point regarding global warming.,Ko'plab olimlar sayyoramiz global isish masalasida hal qiluvchi nuqtada turganini ta'kidlaydi.,,critical juncture | breaking point | threshold,,critical tipping point | reach a tipping point | climate tipping point,saying 'in a tipping point'
a throwaway society,idiom,C1,ishlatib tashlab yuborish madaniyati (iste'molchilik jamiyati),выбросить культуру (общество потребления),Used to describe modern cultures that prioritize disposable items over repairs or recycling.,,20611,idioms,We need to move away from a throwaway society if we want to save resources.,"Resurslarni saqlamoqchi bo'lsak, ishlatib tashlash madaniyatidan voz kechishimiz kerak.",,disposable society | over-consumption culture,circular economy | sustainable society,combat a throwaway society | the rise of a throwaway society,Using 'throwable society'.
to be on the brink of disaster,idiom,C1,halokat yoqasida bo'lish,быть на грани разрушения,Used when describing an ecosystem or the planet nearing a point of irreversible environmental damage.,,20613,idioms,Many scientists warn that our oceans are on the brink of disaster.,Ko'plab olimlar okeanlarimiz halokat yoqasida ekanidan ogohlantirmoqda.,,at the point of no return | teetering on the edge,in a stable state | flourishing,on the brink of collapse | on the brink of extinction | on the brink of disaster,Saying 'on the edge of disaster' (less common colocation).
take a heavy toll on,idiom,B2,juda salbiy ta'sir ko'rsatmoq,иметь очень негативный эффект,Used to describe severe negative consequences of an action on the environment or health.,,20615,idioms,Industrial pollution has taken a heavy toll on the river's ecosystem.,Sanoat ifloslanishi daryo ekotizimiga juda katta zarar yetkazdi.,,devastate | severely affect | wreak havoc on,benefit | improve,pollution | ecosystem | marine life | biodiversity | decades,saying 'take a heavy damage on'
to be in jeopardy,idiom,C1,xavf ostida qolmoq,быть в опасности,"Used in academic or news contexts to describe species, habitats, or ecosystems under severe threat.",,20617,idioms,Many endangered species are currently in jeopardy due to rapid deforestation.,Ko'plab yo'qolib borayotgan turlar tezkor o'rmon kesilishi tufayli xavf ostida.,,at stake | under threat | in peril,out of danger | safe | secure,ecosystem in jeopardy | future in jeopardy | put in jeopardy,saying 'in the jeopardy'
to turn the tide,idiom,C1,vaziyatni ijobiy tomonga o'zgartirmoq,изменить ситуацию к лучшему,"Used when describing a major shift in a situation from negative to positive, often regarding environmental change.",,20619,idioms,International climate agreements might finally turn the tide on global warming.,Xalqaro iqlim bitimlari nihoyat global isish vaziyatini ijobiy tomonga burishi mumkin.,,reverse the situation | change the outcome,worsen the situation | fail to make an impact,turn the tide against | turn the tide on | effectively turn the tide,using 'change the tide'
to put a strain on nature,idiom,B2,tabiatga og'irlik/bosim yuklamoq,оказывать давление на природу,Used to describe how human activity causes stress or damage to natural ecosystems.,,20621,idioms,Rapid urbanisation is putting a huge strain on nature and local wildlife.,Tez urbanizatsiya tabiat va mahalliy yovvoyi hayvonotga katta bosim o'tkazmoqda.,,burden | pressure | stress,relieve the pressure | ease the burden,put a strain on resources | put a strain on ecosystems | severe strain,using 'make a strain' instead of 'put a strain'
foot the bill for environmental damage,idiom,B2,ekologik zararlar uchun to'lovni amalga oshirish,оплата экологического ущерба,"Used in discussions about who should pay for cleanup or ecological repairs, often used in policy or academic debates.",,20623,idioms,The government insists that major polluters must foot the bill for the environmental damage they cause.,Hukumat yirik ifloslantiruvchilar yetkazgan ekologik zarar uchun xarajatlarni qoplashi shartligini ta'kidlamoqda.,,pay for | cover the costs | shoulder the expenses,shift the cost | avoid payment,corporate polluters | legal requirement | costly cleanup | long-term restoration,footing the bill of
to be at stake,idiom,B2,xavf ostida bo'lmoq,быть в опасности,"Used when describing something valuable that risks being lost or destroyed, such as the future of the planet.",,20625,idioms,The future of the Amazon rainforest is at stake.,Amazon o'rmonlarining kelajagi xavf ostida.,,in danger | at risk | in jeopardy,safe | secure,lives are at stake | future is at stake | everything is at stake | much at stake,saying 'the future is on stake'
to be at the mercy of nature,idiom,C1,tabiat injiqliqlariga bog'liq bo'lmoq,подвержен капризам природы,Used to express the helplessness of humans when facing extreme weather or natural disasters.,,20627,idioms,"When a hurricane hits, islanders are entirely at the mercy of nature.","Dovul urganda, orol aholisi butunlay tabiat injiqliklariga bog'liq bo'ladi.",,vulnerable | defenceless,in control | protected,entirely | constantly | forces | elements,in the mercy of
to wreak havoc on,idiom,C1,kuchli zarar yetkazmoq / vayron qilmoq,нанести серьезный ущерб/разрушить,Used to describe the severe damage or destruction caused by natural disasters or pollution.,,20629,idioms,Plastic pollution continues to wreak havoc on marine ecosystems.,Plastik ifloslanish dengiz ekotizimlariga katta talafot yetkazishda davom etmoqda.,,devastate | destabilize | ravage,,wreak havoc on the environment | wreak havoc on local communities,saying 'wreak the havoc on'
to bear the brunt of,idiom,C1,asosiy zarbani (oqibatni) o'z zimmasiga olmoq,принять на себя основную тяжесть (последствия).,Used to describe who or what suffers the most severe impact from a negative event like climate change or pollution.,,20631,idioms,Developing nations often bear the brunt of climate change.,Rivojlanayotgan davlatlar ko'pincha iqlim o'zgarishining asosiy zarbasini o'z zimmasiga oladi.,,suffer the most | take the full force of,,bear the brunt of climate change | bear the brunt of pollution,Using 'take' instead of 'bear'
to do one's bit,idiom,B1,o'z hissasini qo'shmoq,внести свой вклад,Used to describe making a small but important personal contribution to a larger environmental effort.,,20633,idioms,I try to do my bit for the environment by recycling plastic.,Men plastikni qayta ishlash orqali atrof-muhit uchun o'z hissamni qo'shishga harakat qilaman.,,contribute | play one's part | chip in,do nothing | remain passive,everyone do their bit | try to do one's bit | urge citizens to do their bit,Do my piece
to get back to nature,idiom,B2,tabiat qo'yniga qaytmoq (tabiat bilan yaqinlashmoq),вернуться к природе,"Used when talking about reconnecting with the environment or living a more natural, simplified life.",,20635,idioms,Many people move to the countryside to get back to nature.,Ko'p odamlar tabiatga yaqinlashish uchun qishloqqa ko'chib o'tadi.,,reconnect with nature | immerse in nature,,desire to get back to nature | opportunity to get back to nature,Go back to nature
it’s a no-brainer,idiom,B2,Bu oson tanlov (o'ylab o'tirishga ham hojat yo'q),Это простой выбор (вам даже не придется об этом думать),Used to suggest that a decision is so obvious or beneficial that it requires very little thinking.,,20637,idioms,Choosing to study at that university was a no-brainer for me.,O'sha universitetda o'qishni tanlash men uchun oson qaror edi.,,Obvious choice | Easy decision,Tough choice | Difficult dilemma,absolute no-brainer | total no-brainer | pretty much a no-brainer,It is a no brainer
there's no harm in,idiom,B1,Buning hech qanday zarari yo'q (qilib ko'rish kerak),В этом нет никакого вреда (надо попробовать),Used to encourage someone to try something new or take a small risk.,,20639,idioms,There's no harm in checking the official website for more details.,Rasmiy veb-saytni batafsilroq ma'lumot uchun tekshirib ko'rishning zarari yo'q.,,It's worth trying | Give it a go,It's a bad idea | Avoid doing,harm in trying | harm in asking | harm in checking | harm in applying,There is no harm to try
leaves a lot to be desired,idiom,C1,Talab darajasida emas / yomonroq,Не на должном уровне/хуже,Used to express that something is unsatisfactory or of poor quality without being overly aggressive.,,20641,idioms,The public transport system in this town leaves a lot to be desired.,Bu shahardagi jamoat transporti tizimi talab darajasida emas.,,unsatisfactory | subpar | inadequate,up to scratch | exceeds expectations,the quality leaves a lot to be desired | really leaves a lot to be desired,It leaves many to be desired.
there's a catch,idiom,B2,Bunda biron muammo/shart bor,С этим есть проблема/состояние,Used when something sounds too good to be true and there is a hidden problem or condition.,,20643,idioms,"The offer seems amazing, but I'm sure there's a catch.","Taklif juda zo'r ko'rinadi, lekin unda biror yashirin shart borligiga ishonaman.",,limitation | hidden snag | trade-off,no strings attached,I suspect there's a catch | the catch is that | what's the catch?,There is a trap.
it comes with its fair share of problems,idiom,B2,Uning o'ziga yarasha muammolari bor,У него есть свой набор проблем,"Used to acknowledge that while something has benefits, it also has a predictable amount of issues.",,20645,idioms,Living in a big city comes with its fair share of problems.,Katta shaharda yashashning o'ziga yarasha muammolari bor.,,it has its drawbacks | it is not without issues | it faces challenges,it is completely straightforward | it is seamless,fair share of problems | fair share of challenges | fair share of difficulties,It comes with fair share of problem
one of the pitfalls is,idiom,B2,Kamchiliklaridan biri shundaki / tuzoqlardan biri,"Одним из недостатков является то, что / является одной из ловушек.",Used when discussing hidden dangers or common mistakes people fall into while doing something.,,20647,idioms,One of the pitfalls of starting a business is underestimating the costs.,Biznes boshlashdagi xatarlardan biri xarajatlarni past baholashdir.,,One of the risks is | One of the dangers is,One of the key benefits,avoid common pitfalls | a major pitfall | potential pitfalls,One of the pitfall is...
a significant hurdle,idiom,B2,Muhim to'siq / qiyinchilik,Значительное препятствие/трудность,Used when discussing a specific problem that makes progress difficult or prevents achieving a goal.,,20649,idioms,Funding remains a significant hurdle for small startups nowadays.,Hozirgi kunda mablag' kichik startaplar uchun katta to'siq bo'lib qolmoqda.,,Obstacle | Challenge | Barrier | Difficulty,A great opportunity | A major boost,Face a significant hurdle | Overcome a significant hurdle,A significant hurdle to do...
it falls short,idiom,C1,Kutilgan darajaga yetmaydi,Не соответствует ожиданиям,Used when something fails to meet an expected standard or requirement.,,20651,idioms,The new proposal falls short of the safety standards required by law.,Yangi taklif qonun talab qiladigan xavfsizlik standartlariga yetmaydi.,,underperform | fail to reach | be deficient,exceed expectations | meet the standard | surpass,fall short of expectations | fall short of the target,Saying 'it falls short expectation' (missing 'of')
the flip side,idiom,B2,Masalaning ikkinchi tomoni,Другая сторона дела,Used to introduce an opposing or negative perspective after discussing a positive one.,,20653,idioms,"Working from home is convenient, but the flip side is feeling isolated.","Uydan ishlash qulay, ammo buning ikkinchi tomoni — o'zingizni yolg'iz his qilishdir.",,the other side of the coin | the converse | the downside,the bright side,consider the flip side | the flip side of | the dark flip side,Flip side of that is...
a real turn-off,idiom,B2,Umuman yoqimsiz narsa / qiziqishni so'ndiradigan narsa,"Что-то вообще неприятное/что-то, что отключает интерес",Used to describe something that makes you lose interest or dislike a situation/product.,,20655,idioms,The high price of the tickets was a real turn-off for the fans.,Chipta narxining yuqoriligi muxlislar uchun juda yoqimsiz omil bo'ldi.,,a deterrent | disheartening | unappealing,a major draw | an attractive feature,real turn-off | major turn-off | total turn-off,It is a turning-off...
