headword,pos,example_en,example_uz,example_ru
mankind,noun,The discovery of fire changed the entire course of history for mankind.,,Открытие огня изменило весь ход истории человечества.
stare,verb,It is rude to stare at people when you are in public.,,"Невежливо пялиться на людей, когда ты на публике."
hut,noun,The fishermen lived in a small wooden hut near the sea.,,Рыбаки жили в небольшой деревянной хижине недалеко от моря.
coma,noun,The patient has been in a coma since the serious car accident.,,Пациент находится в коме после серьезной автомобильной аварии.
coffin,noun,The family followed the coffin as it was carried to the grave.,,"Семья следовала за гробом, пока его несли к могиле."
cocaine,noun,The police seized a large amount of cocaine during the raid yesterday.,,Вчера во время рейда полиция изъяла большое количество кокаина.
louder,adjective,Please speak a little louder so everyone can hear you clearly.,,"Пожалуйста, говорите немного громче, чтобы все могли вас четко слышать."
oath,noun,The new president took an oath to serve the people faithfully.,,Новый президент принес присягу верно служить народу.
mob,noun,An angry mob gathered in the street to protest the new law.,,Разъяренная толпа собралась на улице в знак протеста против нового закона.
autopsy,noun,The autopsy revealed that the victim had died of natural causes.,,"Вскрытие показало, что потерпевший умер естественной смертью."
skinny,adjective,He has been very skinny since he started working long hours.,,"Он стал очень худым с тех пор, как начал много работать."
relieved,adjective,She felt relieved when the doctor said her test results were fine.,,"Она почувствовала облегчение, когда врач сказал, что результаты ее анализов в порядке."
adorable,adjective,That is an adorable little puppy you have in your arms.,,У вас на руках очаровательный маленький щенок.
apologies,noun,Please accept my apologies for being late to our meeting today.,,"Пожалуйста, примите мои извинения за опоздание на нашу сегодняшнюю встречу."
counselor,noun,The school counselor helped the student choose the right university subjects.,,Школьный консультант помог студенту выбрать правильные университетские предметы.
spotted,adjective,The spotted leopard was hiding behind the trees in the jungle.,,Пятнистый леопард прятался за деревьями в джунглях.
shave,verb,Most men shave their faces every morning before going to work.,,Большинство мужчин бреют лица каждое утро перед работой.
toss,verb,Toss it over here so I can see what you have.,,"Брось сюда, чтобы я посмотрел, что у тебя есть."
scum,noun,"During smelting, scum rises to the surface and is then removed by the smelter.",,Во время плавки накипь поднимается на поверхность и затем удаляется плавильной печью.
giggling,noun,The children were giggling during the lesson when the teacher walked in.,,"Дети хихикали во время урока, когда вошел учитель."
misery,noun,Ever since his wife left him you can see the misery on his face.,,"С тех пор, как его жена ушла от него, вы можете видеть страдание на его лице."
faithful,adjective,My dog is very faithful; he stays by my side every day.,,Моя собака очень верная; он остается рядом со мной каждый день.
hector,verb,The manager should not hector his employees during the morning team meeting.,,Менеджер не должен оскорблять своих сотрудников во время утреннего собрания команды.
emotion,noun,She found it hard to control her emotion during the sad movie.,,Ей было трудно контролировать свои эмоции во время просмотра грустного фильма.
chap,noun,Who is that friendly chap standing near the door over there?,,"Кто этот дружелюбный парень, стоящий там возле двери?"
shitty,adjective,"I had a really shitty day at work yesterday, honestly.",,"Честно говоря, вчера у меня был действительно дерьмовый день на работе."
gum,noun,My gum started to hurt after I ate that hard candy.,,"Моя десна начала болеть после того, как я съела леденец."
corporal,adjective,"In the past, corporal punishment was common in many schools.",,В прошлом телесные наказания были обычным явлением во многих школах.
hopeless,adjective,He felt hopeless about finding a new job after months trying.,,Он чувствовал себя безнадежным в поисках новой работы после нескольких месяцев попыток.
swell,verb,Your ankle will swell up if you do not rest it.,,"Ваша лодыжка опухнет, если вы не дадите ей отдых."
feast,noun,We had a grand feast to celebrate the end of the harvest.,,У нас был грандиозный праздник в честь окончания сбора урожая.
wolves,noun,The pack of wolves hunted together through the deep forest.,,Стая волков вместе охотилась в густом лесу.
dunno,verb,"Where did he go? I dunno, he left without saying anything.",,"Куда он пошел? Не знаю, он ушел, ничего не сказав."
sorrow,noun,She felt great sorrow when she heard the sad news.,,"Она почувствовала огромную скорбь, когда услышала печальную новость."
scar,noun,He has a small scar on his forehead from a childhood accident.,,У него на лбу небольшой шрам от несчастного случая в детстве.
fuss,noun,The staff made a big fuss about the surprise party arrangements.,,Персонал поднял большой шум по поводу организации вечеринки-сюрприза.
rusty,adjective,My French is a bit rusty because I haven't practiced in years.,,"Мой французский немного заржавел, потому что я не практиковался уже много лет."
psycho,noun,He drives like a total psycho when he is late for work.,,"Когда он опаздывает на работу, он водит машину как полный псих."
smarter,adjective,"You may be faster than me, but I am smarter than you.",,"Ты можешь быть быстрее меня, но я умнее тебя."
shove,verb,The crowd began to shove and push to get out the door.,,"Толпа начала толкаться и толкаться, чтобы выйти за дверь."
dull,adjective,He sat through the dull lecture and barely stayed awake.,,Он высидел скучную лекцию и почти не заснул.
worthless,adjective,Don’t be a worthless slouch! Go get yourself a job.,,Не будь никчемным лентяем! Иди найди себе работу.
kindness,noun,"Jamie's kindness is legendary, so much that people have taken advantage of her.",,"О доброте Джейми ходят легенды, настолько, что люди ею воспользовались."
rumor,noun,There's a rumor going round that he's going to get married.,,"Ходят слухи, что он собирается жениться."
spike,noun,The trap was lined with spikes.,,Ловушка была снабжена шипами.
ginger,noun,I always add fresh ginger to my tea when I feel sick.,,"Я всегда добавляю свежий имбирь в чай, когда меня тошнит."
kindly,adverb,Could you kindly wait for a few minutes while I finish work?,,"Не могли бы вы подождать несколько минут, пока я закончу работу?"
envy,verb,I sometimes envy my sister because she travels to many beautiful countries.,,"Я иногда завидую своей сестре, потому что она путешествует по многим прекрасным странам."
upside,noun,The upside of moving abroad is that you learn a new language.,,"Плюс переезда за границу в том, что вы выучите новый язык."
paranoid,adjective,He became paranoid that his coworkers were talking about him behind back.,,"Он стал параноиком из-за того, что коллеги говорили о нем за спиной."
faint,adjective,We saw a faint light glowing in the distance late at night.,,"Поздно вечером мы увидели слабый свет, светящийся вдалеке."
bleed,verb,"If you cut your finger, it will probably bleed for a while.",,"Если вы порежете палец, вероятно, какое-то время он будет кровоточить."
forbid,verb,The rules forbid students from using their mobile phones during the exam.,,Правила запрещают студентам пользоваться мобильными телефонами во время экзамена.
neat,adjective,She keeps her desk very neat and organized at all times.,,Она всегда держит свой стол в чистоте и порядке.
psychic,noun,Some people believe that a psychic can predict the future with accuracy.,,"Некоторые люди верят, что экстрасенс может с точностью предсказать будущее."
goose,noun,There is a flock of geese swimming on the village pond today.,,Сегодня на деревенском пруду плавает стая гусей.
accidentally,adverb,I accidentally left my keys inside the house this morning.,,Сегодня утром я случайно забыл ключи в доме.
sweep,verb,Could you please sweep the kitchen floor after you finish cooking?,,"Не могли бы вы подмести пол на кухне после того, как закончите готовить?"
blackmail,verb,The criminal tried to blackmail the businessman by using private photos.,,"Преступник пытался шантажировать бизнесмена, используя частные фотографии."
risky,adjective,It is very risky to drive on these icy roads at night.,,Ночью по этим обледенелым дорогам ездить очень рискованно.
glorious,adjective,We spent a glorious day walking in the mountains under the sun.,,"Мы провели великолепный день, гуляя по горам под солнцем."
hatred,noun,There is a lot of hatred between the two groups of people.,,Между этими двумя группами людей существует большая ненависть.
scotch,verb,The bad weather scotched our plans to go to the beach.,,Плохая погода разрушила наши планы пойти на пляж.
prey,noun,The lion waited in the grass to catch its unsuspecting prey.,,"Лев ждал в траве, чтобы поймать ничего не подозревающую добычу."
fry,verb,I need to fry the onions before adding them to the soup.,,"Мне нужно обжарить лук, прежде чем добавлять его в суп."
warden,noun,The prison warden ordered the guards to lock all the heavy doors.,,Начальник тюрьмы приказал охранникам запереть все тяжелые двери.
zombie,noun,We watched a scary movie about a zombie attack in a big city.,,Мы посмотрели страшный фильм о нападении зомби в большом городе.
compliment,noun,It is a great compliment when someone tells you that you look good.,,"Это отличный комплимент, когда кто-то говорит вам, что вы хорошо выглядите."
helpless,adjective,The tiny kitten felt helpless when it was left in the rain.,,"Крошечный котенок чувствовал себя беспомощным, когда его оставили под дождем."
appetite,noun,A long walk in the fresh air always gives me a good appetite.,,Длительная прогулка на свежем воздухе всегда вызывает у меня хороший аппетит.
vain,adjective,He made a vain attempt to change her mind about the decision.,,Он предпринял тщетную попытку изменить ее мнение по поводу этого решения.
retire,verb,My grandfather plans to retire from his job next year at sixty.,,Мой дедушка планирует уйти на пенсию в следующем году в шестьдесят лет.
thrilled,adjective,Ben was thrilled to lead the game in front of his fans.,,Бен был очень рад провести игру на глазах у своих болельщиков.
dummy,noun,Stop acting like a dummy and listen to the teacher carefully.,,Перестаньте вести себя как дурачок и внимательно слушайте учителя.
sailor,noun,He is a talented sailor and has spent many years at sea.,,Он талантливый моряк и много лет провел в море.
samurai,noun,The samurai were known for their strict code of honor and discipline.,,Самураи были известны своим строгим кодексом чести и дисциплины.
wandering,adjective,The wandering minstrel sang songs of old battles in every village.,,В каждой деревне странствующий менестрель пел песни о старых битвах.
butcher,noun,The butcher prepared a fresh cut of beef for the family dinner.,,Мясник приготовил свежий кусок говядины для семейного ужина.
brandy,noun,He enjoyed sipping a glass of brandy by the fireplace at night.,,Ему нравилось потягивать по вечерам у камина стаканчик бренди.
apologise,verb,You should apologise to your friend for being late to the party.,,Тебе следует извиниться перед другом за опоздание на вечеринку.
nazi,noun,History students often read about the crimes committed by the nazi regime.,,"Студенты-историки часто читают о преступлениях, совершенных нацистским режимом."
parole,noun,"After serving ten years, he was finally released on parole.",,"Отсидев десять лет, он наконец был освобожден условно-досрочно."
pistol,noun,The police officer pulled out his pistol to stop the suspect.,,"Полицейский вытащил пистолет, чтобы остановить подозреваемого."
fortunately,adverb,"Fortunately, the rain stopped just before our outdoor wedding ceremony began.",,"К счастью, дождь прекратился незадолго до начала нашей свадебной церемонии на открытом воздухе."
tomb,noun,Tourists visited the ancient tomb to see the historic wall paintings.,,"Туристы посетили древнюю гробницу, чтобы увидеть исторические настенные росписи."
ninja,noun,The movie featured a skilled ninja fighting enemies in the night.,,"В фильме показан опытный ниндзя, сражающийся с врагами в ночи."
eternity,noun,They promised to love each other for all of eternity.,,Они пообещали любить друг друга всю вечность.
crawl,verb,The baby started to crawl across the floor to reach its toy.,,Малыш начал ползать по полу в поисках своей игрушки.
slice,noun,Would you like another slice of bread with your soup?,,Хотите еще кусочек хлеба к супу?
behaviour,noun,The teacher praised the children for their good behaviour today.,,Учитель похвалил детей за хорошее поведение сегодня.
stiff,adjective,My neck is very stiff after sitting at the computer all day.,,У меня очень напряглась шея после целого дня сидения за компьютером.
lick,verb,The dog ran up to lick my face in excitement.,,Собака от волнения подбежала и лизнула мне лицо.
allah,noun,He thanked Allah for the strength to overcome his difficulties.,,Он поблагодарил Аллаха за силу преодолеть свои трудности.
sausage,noun,We grilled some sausages for dinner in the garden yesterday.,,Вчера мы жарили сосиски на ужин в саду.
constable,noun,The local constable patrolled the streets every evening to ensure public safety.,,"Местный констебль каждый вечер патрулировал улицы, чтобы обеспечить общественную безопасность."
spinning,noun,The spinning of the wheels made a loud noise on the road.,,Пробуксовка колес произвела на дороге громкий шум.
loudly,adverb,He spoke loudly so that his friend could hear him clearly.,,"Он говорил громко, чтобы друг мог ясно его услышать."
marvelous,adjective,We had a marvelous time at the park during our weekend holiday.,,Мы чудесно провели время в парке во время наших выходных.
subway,noun,It is much faster to travel by subway during the busy morning.,,В напряженное утро ехать на метро гораздо быстрее.
creep,verb,The thief tried to creep past the guard without making any sound.,,Вор попытался бесшумно проскользнуть мимо охранника.
affection,noun,She showed great affection for her younger brother during the long trip.,,Во время долгого путешествия она проявила большую привязанность к младшему брату.
woody,adjective,The plant has a thick woody stem that supports its flowers.,,"У растения толстый деревянистый стебель, поддерживающий цветы."
drake,noun,The drake has much more colorful feathers than the female duck.,,"У селезня гораздо более яркие перья, чем у утки-самки."
anyhow,adverb,"I am not sure if he heard me; anyhow, it does not matter.",,"Я не уверен, услышал ли он меня; в любом случае, это не имеет значения."
scent,noun,The garden was filled with the sweet scent of blooming roses.,,Сад наполнился сладким ароматом цветущих роз.
naive,adjective,It was naive of me to believe that everything would go perfectly.,,"С моей стороны было наивно полагать, что все пройдет идеально."
daylight,noun,We should finish the work before daylight starts to fade away.,,"Мы должны закончить работу до того, как дневной свет начнет угасать."
jolly,adjective,The jolly old man greeted everyone with a big smile.,,Веселый старик приветствовал всех широкой улыбкой.
swore,verb,He swore that he had nothing to do with the robbery.,,"Он клялся, что не имеет никакого отношения к ограблению."
blaring,verb,The radio was blaring music in the middle of the night.,,Посреди ночи радио крутило музыку.
vanished,verb,The magician vanished before our eyes in a cloud of smoke.,,Волшебник исчез на наших глазах в облаке дыма.
sniffles,noun,I think I am getting the sniffles after walking in the rain.,,"Кажется, у меня появляется насморк после прогулки под дождем."
plague,noun,The plague killed many people in Europe during the Middle Ages.,,Чума унесла жизни многих людей в Европе в средние века.
breeze,noun,A cool breeze blew across the garden on the hot day.,,В жаркий день по саду дул прохладный ветерок.
rascal,noun,"Stop jumping on the sofa, you little rascal, and sit down now.",,"Перестань прыгать на диване, маленький негодяй, и сядь сейчас же."
hush,verb,The teacher had to hush the class before starting the new lesson.,,Учителю пришлось заставить класс замолчать перед началом нового урока.
instinct,noun,Most animals follow their instinct to protect their babies from any danger.,,"Большинство животных следуют своему инстинкту, чтобы защитить своих детенышей от любой опасности."
furious,adjective,My brother was absolutely furious when I broke his new smartphone screen.,,"Мой брат был в ярости, когда я разбил экран его нового смартфона."
fled,verb,The villagers fled their homes when the fire started spreading quickly.,,"Жители деревни покинули свои дома, когда огонь начал быстро распространяться."
suspicion,noun,The police had a strong suspicion that he was involved in the crime.,,"У полиции были серьезные подозрения, что он был причастен к преступлению."
secretly,adverb,She was secretly planning a surprise party for her best friend.,,Она тайно планировала вечеринку-сюрприз для своей лучшей подруги.
tricky,adjective,Learning to speak a new language can be a tricky task.,,Научиться говорить на новом языке может быть непростой задачей.
carriage,noun,The royal family arrived at the castle in a golden carriage.,,Королевская семья прибыла в замок в золотой карете.
cellar,noun,We keep the jars of preserved vegetables down in the cellar.,,Мы храним банки с консервированными овощами в подвале.
mortal,adjective,All human beings are mortal and will face the end eventually.,,Все люди смертны и рано или поздно встретят конец.
honesty,noun,Honesty is the most important quality in a good friendship.,,Честность – самое важное качество в хорошей дружбе.
deed,noun,One small good deed can make a big difference to someone.,,Одно маленькое доброе дело может иметь для кого-то большое значение.
pirate,noun,The authorities are working hard to stop pirates from attacking merchant ships.,,"Власти прилагают все усилия, чтобы помешать пиратам нападать на торговые суда."
illusion,noun,The desert heat created an illusion of water on the distant road.,,Пустынная жара создавала иллюзию воды на далекой дороге.
mole,noun,She has a small mole on her left cheek that looks beautiful.,,"У нее есть маленькая родинка на левой щеке, которая выглядит красиво."
rang,verb,He rang his mother to tell her he arrived home safely.,,"Он позвонил матери и сообщил, что благополучно добрался домой."
heir,noun,The king's eldest son is the official heir to the throne.,,Старший сын короля является официальным наследником престола.
dentist,noun,I need to visit the dentist because one of my teeth hurts.,,"Мне нужно посетить стоматолога, потому что у меня болит один зуб."
roast,verb,We like to roast a large chicken for our Sunday family dinner.,,Нам нравится жарить большую курицу на воскресный семейный ужин.
mansion,noun,They live in a beautiful white mansion on the hill outside town.,,Они живут в красивом белом особняке на холме за городом.
mademoiselle,noun,"Excuse me mademoiselle, did you drop your umbrella on the sidewalk?",,"Простите, мадемуазель, вы уронили зонтик на тротуар?"
haunted,adjective,Many people say that the old abandoned house is truly haunted.,,"Многие говорят, что старый заброшенный дом действительно населен привидениями."
distracted,adjective,I was so distracted by the noise that I forgot my keys.,,"Меня так отвлек шум, что я забыл ключи."
champ,noun,"You worked so hard today, you are a real champ my friend.",,"Ты так много работал сегодня, ты настоящий чемпион, мой друг."
shotgun,noun,The hunter carried his shotgun while walking through the thick forest trees.,,"Охотник нес ружье, прогуливаясь сквозь густые лесные деревья."
dizzy,adjective,I stood up too fast from the chair and felt quite dizzy.,,Я слишком быстро встал со стула и почувствовал сильное головокружение.
bully,noun,The school bully was finally punished for bothering the smaller children.,,"В конце концов школьного хулигана наказали за то, что он беспокоил маленьких детей."
patty,noun,"The cook fried the hamburger patty, then put it in a bun.",,"Повар поджарил котлету для гамбургера, а затем положил ее в булочку."
wealthy,adjective,She comes from a wealthy family that owns several large companies.,,"Она из богатой семьи, владеющей несколькими крупными компаниями."
rot,verb,The apple left in the cupboard all that time had started to rot.,,"Яблоко, пролежавшее все это время в шкафу, начало гнить."
spill,verb,I accidentally spilled some hot tea on the kitchen floor.,,Я случайно пролил горячий чай на пол кухни.
deceased,adjective,The deceased person left all of his money to the local hospital.,,Покойный оставил все свои деньги местной больнице.
sleepy,adjective,I feel very sleepy after a long day of working at school.,,Я чувствую себя очень сонным после долгого дня работы в школе.
almighty,adjective,Many people pray to the almighty God for guidance and peace.,,Многие люди молятся всемогущему Богу о руководстве и мире.
disgrace,noun,His rude behavior at the dinner party was a complete disgrace.,,Его грубое поведение на званом обеде было полным позором.
screech,verb,The car tires began to screech when he hit the brakes hard.,,"Шины автомобиля начали визжать, когда он резко нажал на тормоза."
snack,noun,I usually have a healthy snack like an apple in the afternoon.,,"Обычно я перекусываю полезным перекусом, например, яблоком во второй половине дня."
ding,noun,There is a small ding on the side of my new car.,,На моей новой машине есть небольшая вмятина.
cheek,noun,The cold wind made her cheeks turn bright red.,,Холодный ветер заставил ее щеки покраснеть.
ditch,verb,I decided to ditch my old clothes and buy some new ones.,,Я решил выбросить старую одежду и купить новую.
dime,noun,He did not have a single dime in his pocket.,,В кармане у него не было ни копейки.
chuckle,verb,She chuckled when she saw the puppy playing in the yard.,,"Она усмехнулась, когда увидела щенка, играющего во дворе."
ransom,noun,The kidnappers demanded a large ransom for the boy's release.,,Похитители потребовали крупный выкуп за освобождение мальчика.
bore,verb,I did not mean to bore you with all these long stories.,,Я не хотел утомлять вас всеми этими длинными историями.
waitress,noun,The waitress brought us the menu as soon as we sat down.,,"Официантка принесла нам меню, как только мы сели."
spite,noun,He did not invite her to the party just out of spite.,,Он не пригласил ее на вечеринку просто назло.
fortunate,adjective,We were fortunate to find a place to stay during the festival.,,Нам посчастливилось найти место для ночлега во время фестиваля.
disappoint,verb,"I am sorry to disappoint you, but the tickets are all sold.",,"Мне жаль вас разочаровывать, но билеты все проданы."
gin,noun,They like to mix gin with tonic water for a refreshing evening drink.,,"Им нравится смешивать джин с тоником, чтобы получить освежающий вечерний напиток."
psychiatrist,noun,The patient decided to see a psychiatrist to talk about his anxiety.,,"Пациент решил обратиться к психиатру, чтобы поговорить о своей тревоге."
slams,verb,The wind blows and the door slams shut in the dark.,,"Дует ветер, и дверь захлопывается в темноте."
daphne,noun,The daphne bush in our garden smells wonderful in early spring.,,Куст дафны в нашем саду чудесно пахнет ранней весной.
sigh,verb,She sighed with relief when she heard the good news today.,,"Она вздохнула с облегчением, когда сегодня услышала хорошие новости."
brat,noun,The spoiled brat screamed until his mother bought him a toy.,,"Избалованный мальчишка кричал, пока мать не купила ему игрушку."
hilarious,adjective,We watched a hilarious movie that made us laugh all evening.,,"Мы посмотрели веселый фильм, который заставил нас смеяться весь вечер."
hallway,noun,Please leave your wet umbrella in the hallway before coming inside.,,"Пожалуйста, оставьте мокрый зонт в коридоре, прежде чем войти внутрь."
chimes,noun,The clock chimes every hour to tell us what time it is.,,"Часы бьют каждый час, сообщая нам, который час."
greet,verb,The teacher stood at the door to greet every student by name.,,Учитель стоял у двери и приветствовал каждого ученика по имени.
thud,noun,The heavy book fell onto the floor with a loud thud.,,Тяжелая книга с громким стуком упала на пол.
dreadful,adjective,The weather was absolutely dreadful during our entire vacation last week.,,Погода была просто ужасной на протяжении всего нашего отпуска на прошлой неделе.
sung,verb,The national anthem was sung beautifully by the talented young choir.,,Государственный гимн прекрасно исполнил талантливый молодой хор.
whimpers,verb,The small dog whimpers whenever he hears loud noises outside the house.,,"Маленькая собачка скулит всякий раз, когда слышит громкие звуки за пределами дома."
sworn,adjective,They have been sworn enemies since they were children at school.,,"Они были заклятыми врагами с тех пор, как учились в школе."
tasty,adjective,You could make this tasty meal for breakfast tomorrow morning.,,Завтра утром вы можете приготовить это вкусное блюдо на завтрак.
lust,noun,He felt a powerful sense of lust when he saw her.,,"Когда он увидел ее, он почувствовал сильное чувство вожделения."
ego,noun,Winning the competition was a huge boost for his ego.,,Победа в соревновании стала огромным стимулом для его эго.
forgiven,verb,She has finally forgiven him for the mistake he made.,,"Она наконец простила ему ошибку, которую он совершил."
eager,adjective,Stacey is very eager to go cycling with us this weekend.,,Стейси очень хочет покататься с нами на велосипеде в эти выходные.
allergic,adjective,I cannot stay in this house because I am allergic to cats.,,"Я не могу оставаться в этом доме, потому что у меня аллергия на кошек."
repay,verb,I finally repaid my student loans just before starting my new job.,,"Я наконец погасил студенческие кредиты незадолго до того, как приступил к новой работе."
gratitude,noun,She showed deep gratitude for the support she received during her illness.,,"Она выразила глубокую благодарность за поддержку, которую она получила во время болезни."
passionate,adjective,He is a passionate supporter of his local football club every season.,,Каждый сезон он страстно болеет за свой местный футбольный клуб.
fries,noun,I ordered a burger and a large portion of fries for lunch.,,На обед я заказал гамбургер и большую порцию картошки фри.
disguise,noun,The spy wore a fake beard as a disguise to avoid detection.,,"Шпион носил искусственную бороду в качестве маскировки, чтобы избежать обнаружения."
archer,noun,The archer aimed carefully at the target before releasing the sharp arrow.,,"Лучник тщательно прицелился в цель, прежде чем выпустить острую стрелу."
innocence,noun,The young boy showed his innocence by smiling at the dangerous stranger.,,"Юноша показал свою невиновность, улыбнувшись опасному незнакомцу."
creaking,noun,I heard the loud creaking of the wooden floor in the night.,,Ночью я услышал громкий скрип деревянного пола.
painter,noun,The famous painter spent many years working on this beautiful landscape portrait.,,Знаменитый художник потратил много лет на работу над этим прекрасным пейзажным портретом.
allies,noun,The two countries became strong allies during the long and difficult war.,,Две страны стали сильными союзниками в долгой и трудной войне.
runway,noun,The plane taxied slowly down the long runway before taking off tonight.,,Самолет медленно вырулил по длинной взлетно-посадочной полосе перед взлетом сегодня вечером.
sickness,noun,Many people suffered from sickness after eating the contaminated food at dinner.,,Многие люди заболели после употребления зараженной пищи за ужином.
shrimp,noun,We ordered a delicious salad that included fresh shrimp and green vegetables.,,Мы заказали вкусный салат со свежими креветками и зелеными овощами.
tore,verb,He tore his favorite shirt while climbing over the old fence.,,"Он порвал свою любимую рубашку, перелезая через старый забор."
harmless,adjective,"That spider looks scary, but it is actually completely harmless to humans.",,"Этот паук выглядит устрашающе, но на самом деле он совершенно безвреден для человека."
vicious,adjective,The mailman was frightened by the vicious dog guarding the front gate.,,"Почтальон был напуган злой собакой, охранявшей главные ворота."
glove,noun,You should wear a warm glove on each hand during the winter.,,Зимой следует носить по теплым перчаткам на каждой руке.
manny,noun,They hired a manny to help take the children to school daily.,,"Они наняли помощников, которые ежедневно возили детей в школу."
begged,verb,The young boy begged his mother to let him play outside longer.,,Мальчик умолял мать позволить ему подольше поиграть на улице.
greedy,adjective,The greedy man wanted to own all the land in the village.,,Жадный человек хотел владеть всей землей в деревне.
forehead,noun,She felt the child's forehead to see if he had a fever.,,"Она ощупала лоб ребенка, чтобы проверить, нет ли у него температуры."
peanut,noun,He always liked eating peanuts along with tea before biscuits appeared.,,"Ему всегда нравилось есть арахис вместе с чаем, пока не появилось печенье."
gamble,verb,Mark won half a million dollars gambling on horse races last year.,,В прошлом году Марк выиграл полмиллиона долларов на скачках.
arrogant,adjective,He made an arrogant assumption that everyone would agree with his plan.,,"Он сделал высокомерное предположение, что все согласятся с его планом."
piper,noun,The piper played a traditional song during the village festival celebrations.,,Волынщик играл традиционную песню во время празднования деревенского праздника.
gesture,noun,He made a friendly gesture by waving his hand at the crowd.,,"Он сделал дружеский жест, помахав рукой толпе."
ticking,noun,The steady ticking of the clock kept me awake all night long.,,Постоянное тиканье часов не давало мне спать всю ночь.
whatsoever,adverb,I have no doubt whatsoever that he is telling the truth.,,"Я нисколько не сомневаюсь, что он говорит правду."
leap,verb,The cat prepared to leap across the fence to catch the bird.,,"Кот приготовился перепрыгнуть через забор, чтобы поймать птицу."
snoring,noun,His snoring was so loud that it kept the whole house awake.,,"Его храп был настолько громким, что не давал спать всему дому."
ivy,noun,The old stone wall was covered in thick green ivy plants.,,Старая каменная стена была покрыта густыми зелеными растениями плюща.
kidnap,verb,The criminals planned to kidnap the wealthy man for a large ransom.,,Преступники планировали похитить богатого человека и получить крупный выкуп.
bounce,verb,The tennis ball bounced off the wall during our practice session.,,Теннисный мяч отскочил от стены во время нашей тренировки.
pony,noun,The children enjoyed riding a gentle pony at the local farm.,,Дети с удовольствием катались на ласковом пони на местной ферме.
businessman,noun,The successful businessman travels to many countries for his important meetings.,,Успешный бизнесмен ездит во многие страны для проведения важных встреч.
fucking,adjective,"This is a fucking nightmare, I have no idea what to do.",,"Это чертов кошмар, я понятия не имею, что делать."
jane,noun,The jacket is made from a high quality blue jane fabric.,,Куртка изготовлена ​​из высококачественной ткани синего цвета.
dumb,adjective,It was a dumb mistake to leave the keys in the car.,,Было глупой ошибкой оставить ключи в машине.
fucked,adjective,"If we do not finish this report by tonight, we are totally fucked.",,"Если мы не закончим этот отчет к вечеру, нам конец."
suck,verb,The baby began to suck on her bottle to drink the milk.,,"Ребенок начал сосать бутылочку, чтобы пить молоко."
mustn,verb,"You mustn't talk during the exam, please keep your silence now.",,"Вам нельзя разговаривать во время экзамена, пожалуйста, сохраняйте молчание."
nothin,pronoun,There is nothin in the fridge so we should go buy some food.,,"В холодильнике ничего нет, так что нам пора пойти купить еды."
molly,noun,The bright orange molly swims quickly around the small glass aquarium tank.,,Ярко-оранжевая молли быстро плавает вокруг небольшого стеклянного аквариума.
damned,adjective,I cannot get this damned car to start no matter what I try.,,"Я не могу завести эту чертову машину, как бы я ни старался."
betty,noun,The thief used a betty to open the locked warehouse door.,,"Вор использовал бетти, чтобы открыть запертую дверь склада."
frankie,noun,Many people mistakenly call the monster Frankie instead of the doctor.,,"Многие ошибочно называют монстра Фрэнки, а не доктора."
digging,verb,The children are digging a large hole in the sand at beach.,,Дети роют большую яму в песке на пляже.
drank,verb,He drank a glass of cold water after the long hot run.,,После долгой пробежки он выпил стакан холодной воды.
comin,verb,"I am just comin home now, so I will be there soon.",,"Я сейчас возвращаюсь домой, так что скоро буду там."
